0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4,4,4,4,4,4,8,8,12,8,12,8,8,12,8,4,4,4,4,4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,4,4,4,8,8,12,12,12,12,16,16,16,16,12,8,8,8,8,8,4,4,4,0,0,0,0,0,0,0
0,0,0,0,0,4,4,4,8,8,8,12,16,16,20,20,20,20,20,20,20,12,16,12,16,8,4,8,4,4,0,4,0,0,0,0
0,0,0,0,0,4,8,8,8,12,12,16,20,20,24,24,28,28,28,28,24,24,20,20,16,16,12,8,8,4,4,4,0,0,0,0
0,0,0,4,4,8,12,12,12,16,16,20,28,28,32,32,36,36,36,36,32,32,28,28,24,20,16,12,12,8,8,4,0,0,0,0
0,0,4,4,4,12,12,12,20,20,28,28,32,44,40,52,44,56,44,44,40,40,36,32,28,28,20,16,12,12,8,8,4,0,0,0
0,4,4,4,8,12,16,20,24,32,36,40,52,56,60,64,64,68,56,56,52,48,48,44,40,32,24,20,16,16,12,8,4,4,0,0
0,4,4,8,8,16,20,24,32,36,40,48,60,68,72,76,80,80,68,64,76,60,68,52,56,40,32,32,20,16,12,12,8,4,4,0
4,4,4,8,12,20,24,32,36,44,52,56,72,80,85,89,93,97,97,93,89,85,80,72,64,56,44,36,24,20,16,12,8,4,4,0
4,8,8,12,12,24,28,36,40,52,56,68,85,93,101,105,109,113,113,109,105,101,93,85,76,68,52,44,32,28,20,20,12,4,4,4
4,8,8,12,16,28,36,40,56,56,76,76,97,117,113,121,125,129,129,125,121,113,105,97,89,76,56,48,40,32,28,20,16,8,8,4
4,8,12,16,20,32,44,52,60,72,85,97,121,133,129,133,141,145,145,141,137,129,121,109,101,89,64,56,44,40,28,24,16,8,8,4
4,8,12,16,20,36,44,56,68,80,93,105,133,141,141,161,157,174,161,157,165,141,145,121,121,97,72,60,52,44,32,28,20,12,8,4
8,8,12,20,24,40,48,60,72,85,101,113,141,153,170,178,186,186,190,186,178,170,153,141,129,105,80,68,56,48,36,28,20,12,8,4
8,12,12,20,24,40,52,64,76,89,105,121,149,161,178,186,194,198,198,194,186,178,165,149,137,113,85,76,60,52,40,32,24,12,12,8
8,12,16,20,28,44,56,64,80,93,113,125,157,170,186,194,202,206,210,202,194,186,170,157,141,125,93,80,64,56,44,36,28,16,12,8
8,12,16,20,28,44,56,68,85,97,113,129,161,174,186,198,206,210,214,206,198,186,174,161,145,129,97,80,68,56,44,36,28,16,12,8
8,12,16,20,28,44,56,68,80,97,113,129,161,174,190,198,210,210,214,210,198,190,178,161,145,129,97,85,68,56,44,36,28,16,12,8
8,12,16,20,28,44,56,64,80,93,109,125,157,170,186,194,202,206,210,202,194,186,174,161,145,129,97,80,68,56,44,36,28,16,12,8
8,12,12,20,24,40,52,64,76,89,105,121,149,165,178,186,194,198,198,194,186,186,161,157,133,125,93,76,64,52,44,32,28,16,12,8
8,8,12,16,24,40,48,60,72,85,101,113,141,153,170,178,186,186,190,186,178,170,153,141,129,113,85,72,60,48,40,32,24,12,12,8
4,8,12,16,20,32,44,56,68,80,93,105,133,145,153,165,170,174,178,170,161,153,141,133,117,105,80,68,56,44,36,28,24,12,8,8
4,8,8,16,16,28,40,52,56,72,76,97,121,121,141,137,157,145,161,157,149,141,133,121,109,97,72,60,52,44,32,28,20,12,8,4
4,8,8,12,16,28,32,40,48,56,68,76,97,105,113,121,125,129,145,141,133,129,117,109,97,89,64,56,44,36,28,24,16,8,8,4
4,4,8,12,12,24,28,36,44,52,60,68,85,93,101,105,109,113,129,125,105,113,93,97,76,76,56,40,40,32,28,20,16,8,8,4
4,4,4,8,12,20,24,32,36,44,52,56,72,80,85,89,93,97,97,93,89,85,80,72,64,56,44,36,36,28,24,16,12,8,4,4
0,4,4,4,8,16,20,24,32,36,44,48,60,68,72,76,80,80,85,80,76,72,68,60,56,48,36,32,32,20,20,12,12,4,4,4
0,0,4,4,8,12,16,20,20,32,28,40,52,48,60,64,64,68,68,64,64,60,56,52,44,40,32,24,20,16,12,12,8,4,4,0
0,0,0,4,4,8,12,12,16,20,24,28,32,36,48,52,56,56,56,56,52,48,44,44,36,32,24,20,16,12,12,8,4,4,0,0
0,0,0,4,4,8,8,12,12,16,20,20,28,28,40,32,44,36,44,44,32,40,28,32,24,28,20,16,12,12,8,8,4,0,0,0
0,0,0,0,0,4,4,8,8,12,12,16,20,20,24,24,28,28,28,28,24,24,20,20,16,20,16,12,12,8,8,4,4,0,0,0
0,0,0,0,0,4,4,4,8,8,12,12,16,16,20,20,20,20,20,20,20,20,16,16,12,16,12,8,8,4,4,0,0,0,0,0
0,0,0,0,0,0,0,4,4,4,4,8,12,12,12,12,16,16,16,16,12,12,12,12,8,8,4,4,4,4,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,4,4,8,8,8,8,12,12,12,12,12,12,8,8,8,8,8,4,4,4,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,4,4,4,8,4,8,4,8,8,4,8,4,4,4,4,4,0,0,0,0,0,0,0,0,0
